"SID","lat","lon","elev","name"
2545,58.5667,14.5667,93,"AXSTAL"
2546,58.8772,14.3906,212.07,"GARDSJO"
2548,58.0953,14.4086,94.83,"VISINGSO"
2549,57.4983,14.4675,356.13,"TOMTABACKEN"
2550,57.7514,14.0692,223.5,"JONKOPING/AXAMO"
2552,58.0719,15.2361,197.16,"MALEXANDER"
2553,58.0794,13.785,220,"KYMBO"
2554,58.7161,15.0303,225.08,"KETTSTAKA"
2556,57.2925,14.14,169,"HAGSHULT"
2557,57.8864,15.8656,91.25,"HORN"
2558,58.6894,16.3106,154.8,"KOLMARDEN-STROMSFORS"
2559,57.7072,16.4586,30.53,"GLADHAMMAR"
2561,58.6403,15.4336,73.7,"KVARN"
2562,58.3981,15.5258,93,"LINKOPING/MALMSLATT"
2563,58.2506,17.0106,17.85,"HARSTENA"
2565,57.3844,15.8011,97.7,"MALILLA"
2566,57.4,15.8167,98,"MALILLA"
2567,58.7436,17.8719,19.89,"LANDSORT"
2573,57.3672,17.0986,2,"ORLANDS NORRA UDDE, SOL"
2574,58.5828,16.1486,34.7,"NORRKOPING"
2575,57.3672,17.0986,3.59,"OLANDS NORRA UDDE"
2583,58.6,17.47,25,"GUSTAF DAHLEN"
2584,58.4,19.2,12,"GOTSKA SANDON"
2587,57.9169,18.9569,12.92,"FAROSUND-AR"
2589,58.3944,19.1978,17.21,"GOTSKA SANDON"
2590,57.6667,18.35,47,"VISBY"
2591,57.65,18.35,47,"VISBY AEROLOGISKA STATION"
2595,57.5436,18.4253,35,"ROMA"
2598,57.4414,18.9844,5,"OSTERGARNSHOLM"
2602,56.4042,12.9436,140,"HALLANDSASEN"
2603,56.8625,12.6628,47,"BROEN"
2605,56.4497,12.5472,10.08,"HALLANDS VADERO"
2607,56.2978,12.8442,36.5,"ANGELHOLM-BARKAKRA"
2609,55.4742,13.6683,50,"RYNGE"
2611,56.0306,12.7653,44.27,"HELSINGBORG"
2615,55.3836,12.8167,3.5,"FALSTERBO A"
2616,55.3839,12.8194,5,"FALSTERBO"
2618,56.9494,13.0603,134.6,"TORPUP"
2620,56.9667,13.0667,87,"TORUP"
2622,56.8528,13.8822,148.47,"LJUNGBY"
2623,55.8633,13.6689,113.58,"HORBY"
2625,55.4889,14.3172,5.25,"SKILLINGE"
2628,56.0139,14.8494,60.4,"HANO"
